,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29
134,0,-1,18,14,20,0,-1,-1,-1,0,13,-1,-1,1,-1,-1,28,-1,19,-1,-1,14,-1,-1,-1,-1,4,-1,0,-1
197,-1,0,-1,0,29,-1,-1,0,0,0,0,0,-1,-1,-1,28,-1,0,26,0,-1,-1,0,0,-1,26,-1,-1,8,14
228,-1,0,-1,0,29,22,-1,0,12,21,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,9,-1,-1,-1,-1,-1,0,-1
230,-1,0,-1,0,29,-1,-1,23,0,0,18,-1,-1,-1,-1,28,-1,0,26,21,-1,-1,0,28,-1,26,-1,-1,-1,14
236,-1,0,-1,0,29,22,-1,-1,0,21,0,0,24,-1,-1,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
241,-1,-1,-1,0,29,-1,-1,-1,-1,21,0,21,0,-1,7,-1,21,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
242,0,28,-1,14,18,2,-1,-1,0,0,-1,-1,0,0,9,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,4,-1,8,-1
252,-1,0,-1,0,29,22,-1,0,-1,21,-1,18,0,-1,7,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,0,-1
257,-1,6,-1,28,29,-1,-1,0,0,0,0,-1,-1,-1,-1,28,21,0,-1,0,-1,-1,-1,28,-1,-1,-1,-1,8,14
268,-1,0,-1,0,29,-1,-1,0,0,-1,2,0,-1,-1,-1,28,21,0,26,28,-1,-1,-1,-1,-1,26,-1,-1,0,14
270,-1,0,-1,0,29,22,-1,-1,1,21,9,-1,0,-1,7,-1,21,28,-1,21,-1,-1,-1,0,-1,-1,-1,-1,29,-1
280,-1,0,-1,0,29,22,-1,9,1,21,9,0,0,-1,7,-1,-1,28,-1,21,0,-1,-1,0,-1,-1,-1,-1,29,-1
282,-1,0,-1,-1,29,22,-1,9,1,21,9,0,-1,-1,7,-1,21,28,-1,21,0,-1,-1,0,-1,-1,-1,-1,29,-1
301,-1,0,-1,0,29,-1,-1,0,0,29,2,0,-1,-1,-1,28,21,0,26,0,-1,-1,-1,-1,-1,26,-1,-1,-1,14
305,-1,-1,-1,0,29,-1,-1,-1,14,0,-1,-1,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
313,-1,14,-1,8,29,22,-1,0,0,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
317,-1,0,-1,0,29,22,-1,0,0,21,-1,0,0,-1,-1,-1,21,28,-1,0,-1,-1,24,13,-1,-1,-1,-1,21,-1
324,-1,0,-1,-1,29,22,-1,0,0,0,0,-1,-1,-1,-1,4,21,2,8,0,-1,-1,0,4,-1,26,-1,-1,0,14
328,-1,-1,-1,-1,29,22,-1,0,-1,0,0,-1,-1,-1,-1,4,21,0,8,-1,-1,-1,0,0,-1,26,-1,-1,0,14
330,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
339,-1,0,-1,0,-1,-1,-1,0,0,5,-1,-1,-1,-1,-1,-1,21,-1,26,0,-1,-1,20,0,-1,26,-1,-1,8,-1
344,-1,0,-1,0,29,22,-1,0,0,21,-1,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
350,24,28,-1,14,18,2,-1,-1,0,0,-1,-1,0,0,9,-1,-1,-1,20,-1,-1,-1,-1,8,-1,7,4,-1,8,-1
358,-1,-1,-1,0,29,22,-1,0,0,21,0,0,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,0,-1,-1,-1,-1,-1,0,-1
361,-1,0,-1,0,-1,22,-1,0,0,21,0,6,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
362,-1,0,-1,0,29,22,-1,0,0,21,0,-1,-1,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
363,-1,0,-1,0,29,22,-1,0,0,21,-1,0,-1,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
364,-1,0,-1,-1,29,22,-1,-1,0,0,0,-1,-1,-1,-1,-1,21,0,8,-1,-1,-1,0,0,-1,26,-1,-1,0,14
369,-1,-1,-1,0,-1,22,-1,0,9,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
372,-1,0,-1,0,29,-1,-1,0,0,0,2,0,-1,-1,-1,28,21,0,26,21,-1,-1,-1,0,-1,26,-1,-1,0,14
377,-1,28,-1,28,29,-1,-1,0,0,21,0,0,-1,-1,7,-1,21,28,0,-1,0,20,0,0,-1,26,-1,-1,-1,-1
378,-1,8,-1,-1,29,22,-1,0,0,0,3,-1,-1,-1,-1,-1,-1,0,8,-1,-1,-1,18,21,-1,26,-1,-1,0,14
379,-1,8,-1,-1,29,22,-1,0,0,0,3,-1,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,26,-1,-1,0,14
380,-1,28,-1,28,29,-1,-1,0,0,21,0,0,-1,-1,7,-1,21,28,0,0,18,20,0,0,-1,26,-1,-1,-1,-1
382,-1,-1,-1,0,29,-1,-1,-1,-1,5,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
389,-1,-1,-1,0,29,22,-1,0,0,21,0,-1,0,-1,7,-1,21,28,-1,0,-1,-1,0,13,-1,-1,-1,-1,0,-1
391,-1,0,-1,0,-1,-1,-1,9,0,0,2,0,-1,-1,-1,28,21,0,26,0,-1,-1,-1,-1,-1,-1,-1,-1,14,14
395,-1,0,-1,-1,29,22,-1,0,0,21,11,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
396,-1,-1,-1,0,29,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,21,0,8,-1,-1,-1,0,0,-1,-1,-1,-1,-1,14
397,-1,-1,-1,0,29,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,8,-1,-1,-1,0,0,-1,-1,-1,-1,-1,14
398,-1,0,-1,0,29,22,-1,0,0,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
401,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,27,14
403,-1,0,-1,-1,29,22,-1,29,18,-1,0,19,28,-1,7,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
404,-1,28,-1,28,29,-1,-1,-1,0,21,0,0,-1,-1,7,-1,21,28,0,0,0,-1,0,0,-1,26,-1,-1,-1,-1
408,-1,0,-1,-1,29,22,-1,0,-1,0,0,-1,-1,-1,-1,0,21,0,8,-1,-1,-1,0,0,-1,26,-1,-1,21,14
409,-1,0,-1,-1,29,22,-1,0,-1,0,0,-1,-1,-1,-1,0,21,0,8,-1,-1,-1,0,0,-1,26,-1,-1,0,14
416,-1,0,-1,-1,29,22,-1,0,0,0,0,-1,-1,-1,-1,0,21,0,8,0,-1,-1,-1,0,-1,26,-1,-1,0,14
418,-1,0,-1,0,29,-1,-1,-1,-1,0,-1,30,-1,-1,-1,28,21,0,-1,0,-1,-1,0,0,-1,26,-1,-1,-1,14
419,-1,0,-1,0,29,-1,-1,-1,-1,0,-1,30,-1,-1,-1,28,21,0,-1,0,-1,-1,0,0,-1,26,-1,-1,-1,14
421,-1,-1,-1,0,29,-1,-1,-1,-1,5,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,8,-1,-1,-1,-1,0,14
425,-1,0,-1,-1,29,22,-1,0,0,0,0,-1,-1,-1,-1,4,21,2,8,0,-1,-1,0,4,-1,26,-1,-1,0,14
429,-1,0,-1,0,-1,22,-1,0,0,21,8,0,9,-1,7,-1,21,-1,-1,-1,0,-1,21,-1,-1,-1,-1,-1,0,-1
430,-1,0,-1,0,29,22,-1,0,0,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
433,-1,0,-1,-1,-1,22,-1,0,-1,21,0,9,0,-1,7,-1,21,28,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1
434,-1,0,-1,0,-1,22,-1,0,0,21,0,6,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
435,-1,0,-1,0,-1,22,-1,-1,0,21,0,6,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
436,-1,0,-1,-1,29,22,-1,0,18,21,0,19,28,-1,7,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,0,-1
440,-1,0,-1,-1,29,-1,-1,0,0,0,0,0,-1,-1,-1,28,21,0,26,21,-1,-1,0,-1,-1,26,-1,-1,8,14
442,-1,-1,-1,0,29,22,-1,0,0,21,0,-1,0,-1,7,-1,21,28,-1,0,-1,-1,0,13,-1,-1,-1,-1,0,-1
445,-1,-1,-1,0,29,-1,-1,-1,-1,5,-1,0,-1,-1,-1,14,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
446,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,8,-1,-1,-1,-1,0,14
447,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,8,-1,-1,-1,-1,0,14
448,-1,0,-1,0,29,-1,-1,0,0,0,0,0,-1,-1,-1,28,21,0,26,21,-1,-1,0,-1,-1,26,-1,-1,8,14
449,-1,0,-1,0,29,-1,-1,0,0,0,0,0,-1,-1,-1,28,21,0,26,21,-1,-1,0,-1,-1,26,-1,-1,8,14
450,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
452,-1,-1,-1,-1,29,22,-1,0,0,21,0,-1,0,-1,7,-1,21,28,-1,0,-1,-1,0,13,-1,-1,-1,-1,0,-1
453,-1,-1,-1,0,29,22,-1,0,0,21,0,-1,0,-1,7,-1,21,28,-1,0,-1,-1,0,13,-1,-1,-1,-1,9,-1
454,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
455,-1,-1,-1,0,29,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
456,-1,-1,-1,28,29,22,-1,0,0,21,0,0,0,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
457,-1,-1,-1,28,29,22,-1,0,0,21,0,0,0,-1,7,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,0,-1
459,-1,0,-1,0,29,22,-1,0,0,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
460,-1,0,-1,0,29,-1,-1,0,-1,4,2,0,-1,-1,-1,28,-1,0,26,21,-1,-1,-1,0,-1,26,-1,-1,-1,14
461,-1,0,-1,0,29,-1,-1,0,-1,0,2,0,-1,-1,-1,28,21,0,26,21,-1,-1,-1,0,-1,26,-1,-1,-1,14
463,-1,30,-1,0,29,-1,-1,0,14,0,0,0,-1,-1,-1,28,21,0,26,0,-1,-1,0,-1,-1,26,-1,-1,8,14
467,-1,0,-1,0,29,-1,-1,0,0,0,2,0,-1,-1,-1,28,21,9,26,0,-1,-1,-1,-1,-1,26,-1,-1,14,14
468,-1,0,-1,0,29,-1,-1,0,0,0,2,0,-1,-1,-1,28,21,0,26,0,-1,-1,-1,-1,-1,26,-1,-1,0,14
469,-1,0,-1,0,29,-1,-1,0,0,0,2,0,-1,-1,-1,28,21,0,26,0,-1,-1,-1,-1,-1,26,-1,-1,0,14
470,-1,0,-1,0,-1,22,-1,0,0,21,0,6,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
471,-1,0,-1,0,-1,22,-1,0,0,21,0,6,-1,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
472,-1,-1,-1,0,29,-1,-1,-1,14,0,-1,0,-1,-1,-1,0,21,-1,8,0,-1,-1,-1,0,-1,-1,-1,-1,0,14
474,-1,0,-1,0,29,22,-1,0,0,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
475,-1,0,-1,0,29,22,-1,0,0,21,0,0,0,-1,-1,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
476,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
477,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
478,-1,0,-1,0,29,-1,-1,0,0,0,2,0,-1,-1,-1,28,21,0,26,0,-1,-1,-1,-1,-1,26,-1,-1,14,14
480,-1,-1,-1,3,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,27,14
482,-1,0,-1,-1,29,22,-1,0,0,0,0,-1,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,26,-1,-1,0,14
483,-1,0,-1,-1,29,22,-1,-1,0,0,0,-1,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,26,-1,-1,0,14
484,-1,0,-1,0,29,22,-1,0,0,21,-1,0,9,-1,7,-1,21,28,-1,0,-1,-1,24,13,-1,-1,-1,-1,21,-1
486,-1,0,-1,-1,-1,22,-1,28,0,0,0,-1,-1,-1,-1,4,21,0,8,0,-1,-1,0,0,-1,26,-1,-1,-1,14
487,-1,0,-1,-1,29,22,-1,0,0,0,0,-1,-1,-1,-1,4,21,0,8,0,-1,-1,0,0,-1,26,-1,-1,-1,14
488,-1,0,-1,-1,29,22,-1,0,18,21,0,19,28,-1,7,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,0,-1
489,-1,0,-1,-1,29,22,-1,0,18,21,0,19,28,-1,7,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,0,-1
490,-1,-1,-1,3,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,27,14
491,-1,-1,-1,3,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,27,14
492,0,28,-1,14,18,2,-1,-1,0,0,-1,-1,0,0,9,-1,-1,-1,20,-1,-1,-1,-1,8,-1,7,4,-1,8,-1
493,0,28,-1,14,18,2,-1,-1,0,0,-1,-1,0,0,9,-1,-1,-1,20,-1,-1,-1,-1,8,-1,7,4,-1,8,-1
494,-1,0,-1,0,29,-1,-1,-1,-1,0,-1,30,-1,-1,-1,28,-1,0,-1,0,-1,-1,22,0,-1,26,-1,-1,8,14
495,-1,0,-1,0,29,-1,-1,-1,-1,0,-1,30,-1,-1,-1,28,-1,0,-1,0,-1,-1,-1,0,-1,26,-1,-1,8,14
497,-1,0,-1,0,-1,22,-1,0,0,21,0,6,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
498,-1,-1,-1,0,29,-1,-1,-1,14,5,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
502,-1,0,-1,-1,29,22,-1,14,1,21,0,0,0,-1,7,-1,21,28,-1,0,2,-1,0,0,-1,-1,-1,-1,0,-1
503,-1,0,-1,-1,29,22,-1,14,1,21,0,0,0,-1,7,-1,21,28,-1,0,0,-1,0,0,-1,-1,-1,-1,0,-1
504,-1,0,-1,0,29,-1,-1,0,0,-1,0,21,-1,-1,-1,28,21,0,26,21,-1,-1,0,-1,-1,26,-1,-1,8,14
505,-1,0,-1,0,29,-1,-1,0,0,-1,0,21,-1,-1,-1,28,21,0,26,21,-1,-1,0,-1,-1,26,-1,-1,8,14
506,-1,0,-1,0,29,22,-1,0,0,21,-1,0,-1,-1,7,-1,21,28,-1,0,-1,-1,24,-1,-1,-1,-1,-1,21,-1
507,-1,0,-1,0,29,22,-1,0,0,21,-1,0,-1,-1,7,-1,21,28,-1,0,-1,-1,24,-1,-1,-1,-1,-1,21,-1
508,-1,0,-1,-1,29,-1,-1,0,0,0,2,0,-1,-1,-1,28,21,0,26,0,-1,-1,-1,-1,-1,26,-1,-1,14,14
509,-1,0,-1,0,29,-1,-1,0,0,0,2,0,-1,-1,-1,28,21,0,26,0,-1,-1,-1,-1,-1,26,-1,-1,14,14
510,-1,-1,-1,0,29,22,-1,-1,0,9,21,0,-1,-1,-1,0,21,28,8,0,-1,-1,-1,0,-1,-1,-1,-1,0,14
511,-1,-1,-1,0,29,22,-1,-1,14,9,21,0,-1,-1,-1,0,21,28,8,0,-1,-1,-1,0,-1,-1,-1,-1,0,14
512,-1,-1,-1,0,-1,-1,-1,0,0,21,23,0,-1,-1,7,-1,-1,-1,-1,-1,15,-1,0,-1,-1,-1,-1,-1,30,-1
514,-1,-1,-1,0,-1,22,-1,0,0,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
515,-1,-1,-1,14,-1,22,-1,0,0,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
516,-1,0,-1,-1,29,22,-1,29,18,21,0,19,28,-1,7,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
517,-1,0,-1,-1,29,22,-1,29,18,21,0,19,28,-1,7,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
518,-1,0,-1,-1,29,22,-1,14,1,21,0,0,0,-1,7,-1,21,28,-1,0,0,-1,0,0,-1,-1,-1,-1,0,-1
519,-1,0,-1,-1,29,22,-1,14,1,21,0,0,0,-1,7,-1,21,28,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1
521,-1,30,-1,0,29,-1,-1,0,14,0,0,0,-1,-1,-1,28,21,0,26,0,-1,-1,0,-1,-1,26,-1,-1,8,14
522,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
523,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
524,-1,-1,-1,0,29,-1,-1,-1,14,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,-1,0,-1,-1,-1,-1,0,14
525,-1,-1,-1,0,29,-1,-1,-1,14,0,-1,0,-1,-1,-1,0,21,0,8,0,-1,-1,-1,0,-1,-1,-1,-1,0,14
526,-1,0,-1,-1,29,22,-1,0,0,0,-1,-1,-1,-1,-1,4,21,2,8,0,-1,-1,0,4,-1,26,-1,-1,13,14
527,-1,0,-1,-1,29,22,-1,0,0,0,-1,-1,-1,-1,-1,4,21,2,8,0,-1,-1,0,4,-1,26,-1,-1,13,14
529,-1,30,-1,0,29,-1,-1,0,14,0,0,0,-1,-1,-1,28,21,0,26,0,-1,-1,0,-1,-1,26,-1,-1,8,14
530,-1,-1,-1,3,-1,22,-1,14,0,21,0,0,0,-1,7,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1
531,-1,-1,-1,3,-1,22,-1,14,0,21,0,0,0,-1,7,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1
532,-1,30,-1,0,29,-1,-1,0,14,0,0,0,-1,-1,-1,28,21,0,26,0,-1,-1,0,-1,-1,26,-1,-1,8,14
533,-1,30,-1,0,29,-1,-1,0,14,0,0,0,-1,-1,-1,28,21,0,26,0,-1,-1,0,-1,-1,26,-1,-1,8,14
534,-1,-1,-1,0,29,-1,-1,-1,-1,5,-1,0,-1,-1,-1,14,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1
535,-1,-1,-1,0,29,-1,-1,-1,-1,5,-1,0,-1,-1,-1,14,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1
536,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,8,-1,-1,0,-1,-1,-1,-1,-1,-1,14
537,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,21,0,8,8,-1,-1,0,-1,-1,-1,-1,-1,-1,14
538,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,0,8,0,-1,-1,0,-1,-1,-1,-1,-1,0,14
539,-1,-1,-1,0,29,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,0,8,0,-1,-1,0,-1,-1,-1,-1,-1,0,14
540,-1,0,-1,0,-1,22,-1,0,0,21,0,-1,9,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
541,-1,0,-1,0,-1,22,-1,0,0,21,0,-1,9,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
542,-1,0,-1,-1,29,22,-1,0,0,0,0,-1,-1,-1,-1,4,21,2,8,0,-1,-1,0,4,-1,26,-1,-1,0,14
544,-1,0,-1,24,29,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,28,21,0,-1,-1,-1,-1,0,0,-1,26,-1,-1,-1,14
545,-1,0,-1,24,29,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,28,21,0,-1,-1,-1,-1,0,0,-1,26,-1,-1,-1,14
546,-1,28,-1,28,29,-1,-1,-1,0,21,0,0,-1,-1,7,-1,21,28,0,0,0,20,0,0,-1,26,-1,-1,-1,-1
547,-1,28,-1,28,29,-1,-1,0,0,21,0,0,-1,-1,7,-1,21,28,0,0,0,20,0,0,-1,26,-1,-1,-1,-1
548,-1,0,-1,-1,29,22,-1,0,0,0,0,-1,-1,-1,-1,4,21,2,8,0,-1,-1,0,4,-1,26,-1,-1,0,14
549,-1,0,-1,-1,29,22,-1,0,0,0,0,-1,-1,-1,-1,4,21,2,8,0,-1,-1,0,4,-1,26,-1,-1,0,14
550,-1,0,-1,0,-1,22,-1,0,0,21,0,6,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
551,-1,0,-1,0,-1,22,-1,0,0,21,0,6,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
552,-1,0,-1,0,29,22,-1,0,0,21,28,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
553,-1,0,-1,0,29,22,-1,0,0,21,28,0,0,-1,7,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
